Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Data DrivenTest Suite,Chrome 67.0.3396.99,,2018-07-11 12:43:08,2018-07-11 12:43:56,48.325s,FAILED
,,,,,,
Test Cases/Login Test,Chrome 67.0.3396.99,To Check if Login works successfully with different data sets,2018-07-11 12:43:09,2018-07-11 12:43:20,10.943s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-11 12:43:09,2018-07-11 12:43:16,6.783s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 12:43:16,2018-07-11 12:43:17,0.797s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 12:43:17,2018-07-11 12:43:17,0.294s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 12:43:17,2018-07-11 12:43:18,1.160s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-11 12:43:18,2018-07-11 12:43:18,0.148s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-11 12:43:18,2018-07-11 12:43:20,1.247s,PASSED
,,,,,,
Test Cases/Login Test,Chrome 67.0.3396.99,To Check if Login works successfully with different data sets,2018-07-11 12:43:20,2018-07-11 12:43:36,16.483s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-11 12:43:20,2018-07-11 12:43:27,6.876s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 12:43:27,2018-07-11 12:43:27,0.275s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 12:43:27,2018-07-11 12:43:27,0.211s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 12:43:27,2018-07-11 12:43:30,3.068s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-11 12:43:30,2018-07-11 12:43:36,6.025s,FAILED
,,,,,,
Test Cases/Login Test,Chrome 67.0.3396.99,To Check if Login works successfully with different data sets,2018-07-11 12:43:36,2018-07-11 12:43:55,19.299s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-11 12:43:36,2018-07-11 12:43:45,8.580s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 12:43:45,2018-07-11 12:43:45,0.223s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 12:43:45,2018-07-11 12:43:45,0.207s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 12:43:45,2018-07-11 12:43:50,4.397s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-11 12:43:50,2018-07-11 12:43:55,5.862s,FAILED
